phase,block,trial,object_name,object_image,selected,correct,response_time
Initial_Presentation,1,1,linu,sharp10,,,
Initial_Presentation,1,2,tumi,sharp8,,,
Initial_Presentation,1,3,lukn,round5,,,
Initial_Presentation,1,4,kilka,sharp9,,,
Initial_Presentation,1,5,pimpak,sharp11,,,
Initial_Presentation,1,6,nipal,round1,,,
Initial_Presentation,1,7,kulka,round2,,,
Initial_Presentation,1,8,ilka,round4,,,
Initial_Presentation,1,9,kutka,sharp12,,,
Initial_Presentation,1,10,kika,sharp7,,,
Initial_Presentation,1,11,milka,round3,,,
Initial_Presentation,1,12,altmil,round6,,,
Initial_Presentation,2,1,ilka,round4,,,
Initial_Presentation,2,2,kika,sharp7,,,
Initial_Presentation,2,3,pimpak,sharp11,,,
Initial_Presentation,2,4,kutka,sharp12,,,
Initial_Presentation,2,5,kulka,round2,,,
Initial_Presentation,2,6,linu,sharp10,,,
Initial_Presentation,2,7,milka,round3,,,
Initial_Presentation,2,8,nipal,round1,,,
Initial_Presentation,2,9,tumi,sharp8,,,
Initial_Presentation,2,10,kilka,sharp9,,,
Initial_Presentation,2,11,altmil,round6,,,
Initial_Presentation,2,12,lukn,round5,,,
Recognition_training,1,1,ilka,round4,round4,True,604.6834590015351
Recognition_training,1,2,kulka,round2,round4,False,701.3564170047175
Recognition_training,1,3,kika,sharp7,,False,
Recognition_training,1,4,altmil,round6,,False,
Recognition_training,1,5,milka,round3,,False,
Recognition_training,1,6,kilka,sharp9,round3,False,1102.2316250018775
Recognition_training,1,7,kutka,sharp12,,False,
Recognition_training,1,8,lukn,round5,,False,
Recognition_training,1,9,nipal,round1,,False,
Recognition_training,1,10,linu,sharp10,,False,
Recognition_training,1,11,pimpak,sharp11,,False,
Recognition_training,1,12,tumi,sharp8,,False,
Recognition_training,2,1,lukn,round5,,False,
Recognition_training,2,2,kilka,sharp9,,False,
Recognition_training,2,3,ilka,round4,,False,
Recognition_training,2,4,kutka,sharp12,,False,
Recognition_training,2,5,kulka,round2,,False,
Recognition_training,2,6,pimpak,sharp11,,False,
Recognition_training,2,7,kika,sharp7,,False,
Recognition_training,2,8,nipal,round1,,False,
Recognition_training,2,9,milka,round3,,False,
Recognition_training,2,10,altmil,round6,,False,
Recognition_training,2,11,linu,sharp10,,False,
Recognition_training,2,12,tumi,sharp8,,False,
Initial_Presentation_2,1,1,kika,sharp7,,,
Initial_Presentation_2,1,2,ilka,round4,,,
Initial_Presentation_2,1,3,kutka,sharp12,,,
Initial_Presentation_2,1,4,linu,sharp10,,,
Initial_Presentation_2,1,5,altmil,round6,,,
Initial_Presentation_2,1,6,lukn,round5,,,
Initial_Presentation_2,1,7,milka,round3,,,
Initial_Presentation_2,1,8,nipal,round1,,,
Initial_Presentation_2,1,9,kilka,sharp9,,,
Initial_Presentation_2,1,10,kulka,round2,,,
Initial_Presentation_2,1,11,tumi,sharp8,,,
Initial_Presentation_2,1,12,pimpak,sharp11,,,
Initial_Presentation_2,2,1,pimpak,sharp11,,,
Initial_Presentation_2,2,2,kulka,round2,,,
Initial_Presentation_2,2,3,kilka,sharp9,,,
Initial_Presentation_2,2,4,tumi,sharp8,,,
Initial_Presentation_2,2,5,kutka,sharp12,,,
Initial_Presentation_2,2,6,linu,sharp10,,,
Initial_Presentation_2,2,7,nipal,round1,,,
Initial_Presentation_2,2,8,kika,sharp7,,,
Initial_Presentation_2,2,9,milka,round3,,,
Initial_Presentation_2,2,10,altmil,round6,,,
Initial_Presentation_2,2,11,lukn,round5,,,
Initial_Presentation_2,2,12,ilka,round4,,,
Name_Learning,1,1,kilka,sharp9,,False,
Name_Learning,1,2,milka,round3,,False,
Name_Learning,1,3,nipal,round1,,False,
Name_Learning,1,4,linu,sharp10,,False,
Name_Learning,1,5,kutka,sharp12,,False,
Name_Learning,1,6,ilka,round4,,False,
Name_Learning,1,7,tumi,sharp8,,False,
Name_Learning,1,8,altmil,round6,,False,
Name_Learning,1,9,kika,sharp7,,False,
Name_Learning,1,10,lukn,round5,,False,
Name_Learning,1,11,pimpak,sharp11,,False,
Name_Learning,1,12,kulka,round2,kulka,True,2404.452249997121
Name_Learning,2,1,lukn,round5,lukn,True,2704.9716249966878
Name_Learning,2,2,ilka,round4,,False,
Name_Learning,2,3,nipal,round1,,False,
Name_Learning,2,4,linu,sharp10,,False,
Name_Learning,2,5,milka,round3,,False,
Name_Learning,2,6,kika,sharp7,,False,
Name_Learning,2,7,pimpak,sharp11,,False,
Name_Learning,2,8,altmil,round6,,False,
Name_Learning,2,9,tumi,sharp8,,False,
Name_Learning,2,10,kilka,sharp9,,False,
Name_Learning,2,11,kulka,round2,,False,
Name_Learning,2,12,kutka,sharp12,,False,
